Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GNI (current US$),NY.GNP.MKTP.CD,Angola,AGO,10026737967.9144,7448734815.41876,63484025273.4841,75712633817.0538,102092364937.169,117631104835.128,126809806035.747,136862298383.356,110286109906.073,95850167792.3992,114618206700.981,93523683283.3905,87198922324.8465,..
GNI (current US$),NY.GNP.MKTP.CD,Benin,BEN,1921032589.5966,3498981637.45057,9666591343.28971,9481808905.23597,10677800294.7913,11074624287.2725,12448829094.0102,13223294116.3604,11295642491.5136,11718307251.9058,12561418821.1382,14105967001.3224,14247234408.6248,..
GNI (current US$),NY.GNP.MKTP.CD,Botswana,BWA,3684735286.21338,5436161217.60947,10029116811.7846,12147305640.6029,15016122634.6114,14204393944.1666,14251172236.8405,15779102427.5576,13966698430.2498,14376171705.8672,16122423768.2896,17247914519.6078,16960832436.1513,..
GNI (current US$),NY.GNP.MKTP.CD,Burkina Faso,BFA,3093955988.41862,..,..,..,..,..,..,..,11320760397.6714,11997489882.1408,13640284571.5894,15718812530.4597,15326412066.6791,..
GNI (current US$),NY.GNP.MKTP.CD,Burundi,BDI,1117211760.24058,884786065.883137,1764455092.55887,2021328812.72312,2218375410.85042,2326791660.28888,2453425870.69514,2698994566.90227,3102740807.08657,2958794875.00111,3167492069.36737,3043033462.71202,3019539459.42988,..
GNI (current US$),NY.GNP.MKTP.CD,Cabo Verde,CPV,309176369.708973,525174330.399851,1668453496.03349,1591147121.9859,1792779485.57524,1667229959.80028,1785866825.96527,1767262553.51691,1537742030.29208,1603727125.54181,1708731942.22494,1920635859.88755,1939454972.42505,..
GNI (current US$),NY.GNP.MKTP.CD,Cameroon,CMR,10673691294.7312,9490488175.51933,25904236348.238,25905071030.7293,29071882197.2097,28657387670.2726,31737786384.1153,34699622608.5164,30491754476.4422,32085147356.0155,34347942596.7185,37874934849.711,38004379504.7371,..
GNI (current US$),NY.GNP.MKTP.CD,Central African Republic,CAF,1418273437.84433,901436083.897736,2053265655.31444,2152234701.16774,2447711151.39652,2521348254.44324,1706709151.81952,1914517016.76107,1716880210.25294,1847781813.23295,2177935775.13185,2386745257.73409,2386023521.66114,..
GNI (current US$),NY.GNP.MKTP.CD,Chad,TCD,1720769010.63852,1367590662.77908,8868043023.06102,10312399364.7461,11856128211.9459,12067690556.3598,12362322220.9534,13336602010.745,10618477273.031,9911697594.4878,9869508954.25817,11075017680.0106,11140998595.3498,..
GNI (current US$),NY.GNP.MKTP.CD,Comoros,COM,428916945.962077,350605432.387766,900470690.537835,907127359.33076,1022301332.77123,1014150701.47,1116441521.5832,1151100250.86547,969881517.913041,1018190400.7207,1083389247.02739,1185350497.66578,1190473102.29232,..
GNI (current US$),NY.GNP.MKTP.CD,"Congo, Dem. Rep.",COD,..,18699788397.1014,17862577173.2475,20654939478.4381,24543304631.7023,27710051937.9617,29868627089.0428,32869069198.0978,35126776382.8788,36345365361.454,36945659017.8937,45549717037.8734,45878668084.3285,..
GNI (current US$),NY.GNP.MKTP.CD,"Congo, Rep.",COG,2323840716.80238,2275221126.74256,6978832295.64263,9033010283.26317,10727497121.4769,10541258623.192,11053033855.4637,11754574565.2773,8469101677.11498,8383936972.58345,8190929339.14308,10317798051.8376,9639524381.68937,..
GNI (current US$),NY.GNP.MKTP.CD,Cote d'Ivoire,CIV,9209159713.26444,9715070571.87156,23342791966.8571,23995589514.0668,24425276236.7888,25926661657.2942,29861784272.1476,34454180221.7405,44807384562.9239,46887633191.4514,50051967022.8553,55809155337.1927,56975603680.0811,..
GNI (current US$),NY.GNP.MKTP.CD,Equatorial Guinea,GNQ,119604661.344397,675806916.325726,9938850407.13803,9578455127.71671,13819220310.4688,14844233177.0267,15003862699.2207,14796387634.7752,9945017664.06179,8709938548.16762,8983531883.80186,10026979628.0621,8329917010.86281,..
GNI (current US$),NY.GNP.MKTP.CD,Eritrea,ERI,..,706846472.727273,1840533600,1569887473.17073,2041455160.97561,..,..,..,..,..,..,..,..,..
GNI (current US$),NY.GNP.MKTP.CD,Eswatini,SWZ,1173722142.77432,1772303683.10326,3504865749.31848,4212627096.65082,4789428020.54785,4862546236.2972,4640822290.81004,4432772867.58134,4113113826.42704,3635531685.92794,4185340308.08922,4314587988.73188,3867330972.51097,..
