series.name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GNI (current US$),NY.GNP.MKTP.CD,Angola,AGO,10026737968,7448734815,63484025273,75712633817,1.02092E+11,1.17631E+11,1.2681E+11,1.36862E+11,1.10286E+11,95850167792,1.14618E+11,93523683283,87198922325,..
GNI (current US$),NY.GNP.MKTP.CD,Benin,BEN,1921032590,3498981637,9666591343,9481808905,10677800295,11074624287,12448829094,13223294116,11295642492,11718307252,12561418821,14105967001,14247234409,..
GNI (current US$),NY.GNP.MKTP.CD,Botswana,BWA,3684735286,5436161218,10029116812,12147305641,15016122635,14204393944,14251172237,15779102428,13966698430,14376171706,16122423768,17247914520,16960832436,..
GNI (current US$),NY.GNP.MKTP.CD,Burkina Faso,BFA,3093955988,..,..,..,..,..,..,..,11320760398,11997489882,13640284572,15718812530,15326412067,..
GNI (current US$),NY.GNP.MKTP.CD,Burundi,BDI,1117211760,884786065.9,1764455093,2021328813,2218375411,2326791660,2453425871,2698994567,3102740807,2958794875,3167492069,3043033463,3019539459,..
GNI (current US$),NY.GNP.MKTP.CD,Cabo Verde,CPV,309176369.7,525174330.4,1668453496,1591147122,1792779486,1667229960,1785866826,1767262554,1537742030,1603727126,1708731942,1920635860,1939454972,..
GNI (current US$),NY.GNP.MKTP.CD,Cameroon,CMR,10673691295,9490488176,25904236348,25905071031,29071882197,28657387670,31737786384,34699622609,30491754476,32085147356,34347942597,37874934850,38004379505,..
GNI (current US$),NY.GNP.MKTP.CD,Central African Republic,CAF,1418273438,901436083.9,2053265655,2152234701,2447711151,2521348254,1706709152,1914517017,1716880210,1847781813,2177935775,2386745258,2386023522,..
GNI (current US$),NY.GNP.MKTP.CD,Chad,TCD,1720769011,1367590663,8868043023,10312399365,11856128212,12067690556,12362322221,13336602011,10618477273,9911697594,9869508954,11075017680,11140998595,..
GNI (current US$),NY.GNP.MKTP.CD,Comoros,COM,428916946,350605432.4,900470690.5,907127359.3,1022301333,1014150701,1116441522,1151100251,969881517.9,1018190401,1083389247,1185350498,1190473102,..
GNI (current US$),NY.GNP.MKTP.CD,"Congo, Dem. Rep.",COD,..,18699788397,17862577173,20654939478,24543304632,27710051938,29868627089,32869069198,35126776383,36345365361,36945659018,45549717038,45878668084,..
GNI (current US$),NY.GNP.MKTP.CD,"Congo, Rep.",COG,2323840717,2275221127,6978832296,9033010283,10727497121,10541258623,11053033855,11754574565,8469101677,8383936973,8190929339,10317798052,9639524382,..
GNI (current US$),NY.GNP.MKTP.CD,Cote d'Ivoire,CIV,9209159713,9715070572,23342791967,23995589514,24425276237,25926661657,29861784272,34454180222,44807384563,46887633191,50051967023,55809155337,56975603680,..
GNI (current US$),NY.GNP.MKTP.CD,Equatorial Guinea,GNQ,119604661.3,675806916.3,9938850407,9578455128,13819220310,14844233177,15003862699,14796387635,9945017664,8709938548,8983531884,10026979628,8329917011,..
GNI (current US$),NY.GNP.MKTP.CD,Eritrea,ERI,..,706846472.7,1840533600,1569887473,2041455161,..,..,..,..,..,..,..,..,..
GNI (current US$),NY.GNP.MKTP.CD,Eswatini,SWZ,1173722143,1772303683,3504865749,4212627097,4789428021,4862546236,4640822291,4432772868,4113113826,3635531686,4185340308,4314587989,3867330973,..
GNI (current US$),NY.GNP.MKTP.CD,Ethiopia,ETH,12108119662,8182263337,32395738209,29825574928,31883271774,43214529006,47541429851,55459432981,64326834730,74053937525,81285191646,83892033920,95640552203,..
GNI (current US$),NY.GNP.MKTP.CD,Gabon,GAB,5336349261,4289132939,10693222146,12484463860,15711224401,15456971601,15890972052,17256250321,13188718851,12934875312,13985729748,15754972352,15511134185,..
GNI (current US$),NY.GNP.MKTP.CD,"Gambia, The",GMB,291575060.3,752681081.7,1422147063,1513386209,1377827103,1385746819,1345938956,1200490602,1322299531,1442454490,1469874441,1595548406,1733819048,..
GNI (current US$),NY.GNP.MKTP.CD,Ghana,GHA,5776765502,4836061112,25883819208,31663124545,38114303104,39174956052,61072600585,51920119658,47921089700,53961581129,57431697460,64270236560,65527306783,..
GNI (current US$),NY.GNP.MKTP.CD,Guinea,GIN,2517716177,2922237098,6548704567,6776357857,6651747174,7516065254,7971453845,8494333615,8650959121,8501447260,10285634799,11521116729,12819281809,..
GNI (current US$),NY.GNP.MKTP.CD,Guinea-Bissau,GNB,233321979,357773145,816595038.4,845414290.8,1104814496,994713353.3,1025761370,1090847650,1073379758,1207921291,1349590591,1456101701,1437316651,..
GNI (current US$),NY.GNP.MKTP.CD,Kenya,KEN,8206604542,12575576937,36976859034,39852460837,41961912290,50187342659,54496759863,60579806471,63195105853,68178433644,77456412235,86329358075,93578038043,..
GNI (current US$),NY.GNP.MKTP.CD,Lesotho,LSO,957269702,1130529943,2325378619,2999377702,3298061599,3092704104,2879292594,2893206631,2666618409,2442948001,2722697146,2926982265,2805739141,..
GNI (current US$),NY.GNP.MKTP.CD,Liberia,LBR,..,772600000,1623399900,1818599900,2273155200,2459030000,2765506500,2811000000,2897000000,2996826000,2982565100,2827000000,2717591900,..
GNI (current US$),NY.GNP.MKTP.CD,Madagascar,MDG,3770426972,4531580027,9502808702,9833984440,11396920373,11260410205,12056235131,12227495202,10949102783,11431773568,12816628749,13454482444,13629105695,..
GNI (current US$),NY.GNP.MKTP.CD,Malawi,MWI,1837457400,1707156806,6132244800,6851157459,7888424223,5892688582,5356898814,5887200679,6153437697,5409917742,6149831219,6752507379,7485079315,..
GNI (current US$),NY.GNP.MKTP.CD,Mali,MLI,2666059800,2924051198,9725409574,10269427724,12532754822,11981704342,12810022518,13980057196,12809062690,13645465723,14874787152,16716066629,17055251867,..
GNI (current US$),NY.GNP.MKTP.CD,Mauritania,MRT,1447895783,1793302022,4777200411,5559975527,6609321843,6537356581,7029814844,6340605474,5986763078,6282354757,6661727466,7010709750,7502805384,..
GNI (current US$),NY.GNP.MKTP.CD,Mauritius,MUS,2630672453,4646665747,9181337180,9912845467,11299763116,12083527454,13061912486,13796111242,12684108886,13229765432,14572668163,15576435711,15640351248,..
GNI (current US$),NY.GNP.MKTP.CD,Mozambique,MOZ,..,5360994129,11622851822,10746701974,14191564546,16275337990,16915730871,17514171535,15654142407,11678321883,12825377150,14421681032,14573198611,..
GNI (current US$),NY.GNP.MKTP.CD,Namibia,NAM,2841879991,3941875731,8708821365,10835913878,12010789205,12519782799,11979900196,12284589132,11254032480,10454878257,12508089027,13040377568,12018621141,..
GNI (current US$),NY.GNP.MKTP.CD,Niger,NER,3536335228,2221756352,7244147180,7748255935,8649954254,9231088331,9972064802,10663377622,9514534694,10121505422,10984510326,12633927242,12734879336,..
GNI (current US$),NY.GNP.MKTP.CD,Nigeria,NGA,51148259884,63300677661,2.77317E+11,3.43846E+11,3.8755E+11,4.37291E+11,4.89445E+11,5.49528E+11,4.81571E+11,3.95951E+11,3.64253E+11,3.79792E+11,4.33449E+11,..
GNI (current US$),NY.GNP.MKTP.CD,Rwanda,RWA,2538245657,1719583101,5657340828,6105004897,6854843318,7591924468,7715801471,8100305385,8381920586,8523018375,8944450023,9315415674,9797950633,..
